,Year,Value,Month
56,1936,-0.01,7
57,1937,-0.0,7
58,1938,-0.05,7
59,1939,0.0,7
60,1940,0.15,7
61,1941,0.21,7
62,1942,0.08,7
63,1943,0.19,7
64,1944,0.32,7
65,1945,0.17,7
66,1946,-0.03,7
67,1947,-0.02,7
68,1948,-0.06,7
69,1949,-0.08,7
70,1950,-0.11,7
71,1951,0.11,7
72,1952,0.07,7
73,1953,0.06,7
74,1954,-0.12,7
75,1955,-0.09,7
76,1956,-0.14,7
77,1957,0.06,7
78,1958,0.06,7
79,1959,0.06,7
80,1960,0.03,7
81,1961,0.03,7
82,1962,0.09,7
83,1963,0.14,7
84,1964,-0.11,7
85,1965,-0.08,7
86,1966,0.07,7
87,1967,-0.02,7
88,1968,-0.02,7
89,1969,0.09,7
90,1970,-0.02,7
91,1971,-0.06,7
92,1972,0.07,7
93,1973,0.12,7
94,1974,0.02,7
95,1975,0.01,7
96,1976,-0.09,7
97,1977,0.17,7
98,1978,0.07,7
99,1979,0.18,7
100,1980,0.22,7
101,1981,0.23,7
102,1982,0.15,7
103,1983,0.27,7
104,1984,0.12,7
105,1985,0.08,7
106,1986,0.17,7
107,1987,0.42,7
108,1988,0.34,7
109,1989,0.31,7
110,1990,0.35,7
111,1991,0.45,7
112,1992,0.14,7
113,1993,0.24,7
114,1994,0.32,7
115,1995,0.43,7
116,1996,0.33,7
117,1997,0.51,7
118,1998,0.73,7
119,1999,0.4,7
120,2000,0.4,7
121,2001,0.56,7
122,2002,0.62,7
123,2003,0.54,7
124,2004,0.48,7
125,2005,0.66,7
126,2006,0.63,7
127,2007,0.53,7
128,2008,0.58,7
129,2009,0.64,7
130,2010,0.72,7
131,2011,0.63,7
132,2012,0.69,7
133,2013,0.67,7
134,2014,0.7,7
0,1880,-0.08,8
1,1881,-0.06,8
2,1882,-0.01,8
3,1883,-0.06,8
4,1884,-0.28,8
5,1885,-0.25,8
6,1886,-0.23,8
7,1887,-0.32,8
8,1888,-0.17,8
9,1889,-0.15,8
10,1890,-0.34,8
11,1891,-0.23,8
12,1892,-0.33,8
13,1893,-0.32,8
14,1894,-0.27,8
15,1895,-0.22,8
16,1896,-0.06,8
17,1897,-0.07,8
18,1898,-0.23,8
19,1899,-0.06,8
20,1900,-0.07,8
21,1901,-0.13,8
22,1902,-0.26,8
23,1903,-0.43,8
24,1904,-0.43,8
25,1905,-0.22,8
26,1906,-0.23,8
27,1907,-0.33,8
28,1908,-0.48,8
29,1909,-0.31,8
30,1910,-0.34,8
31,1911,-0.46,8
32,1912,-0.46,8
33,1913,-0.33,8
34,1914,-0.18,8
35,1915,-0.08,8
36,1916,-0.28,8
37,1917,-0.17,8
38,1918,-0.17,8
39,1919,-0.21,8
40,1920,-0.23,8
41,1921,-0.19,8
42,1922,-0.28,8
43,1923,-0.28,8
44,1924,-0.29,8
45,1925,-0.14,8
46,1926,-0.09,8
47,1927,-0.11,8
48,1928,-0.2,8
49,1929,-0.21,8
50,1930,-0.09,8
51,1931,-0.02,8
52,1932,-0.18,8
53,1933,-0.19,8
54,1934,-0.05,8
55,1935,-0.1,8
56,1936,-0.06,8
57,1937,0.09,8
58,1938,-0.02,8
59,1939,0.05,8
60,1940,0.09,8
61,1941,0.17,8
62,1942,0.04,8
63,1943,0.1,8
64,1944,0.27,8
65,1945,0.36,8
66,1946,-0.07,8
67,1947,-0.07,8
68,1948,-0.03,8
69,1949,-0.03,8
70,1950,-0.14,8
71,1951,0.11,8
72,1952,0.06,8
73,1953,0.08,8
74,1954,-0.09,8
75,1955,-0.03,8
76,1956,-0.19,8
77,1957,0.13,8
78,1958,0.05,8
79,1959,0.05,8
80,1960,0.05,8
81,1961,0.03,8
82,1962,0.06,8
83,1963,0.16,8
84,1964,-0.17,8
85,1965,-0.05,8
86,1966,0.02,8
87,1967,-0.01,8
88,1968,-0.02,8
89,1969,0.1,8
90,1970,-0.02,8
91,1971,-0.07,8
92,1972,0.09,8
93,1973,0.08,8
94,1974,0.01,8
95,1975,-0.07,8
96,1976,-0.09,8
97,1977,0.14,8
98,1978,0.01,8
99,1979,0.23,8
100,1980,0.2,8
101,1981,0.25,8
102,1982,0.14,8
103,1983,0.33,8
104,1984,0.17,8
105,1985,0.13,8
106,1986,0.17,8
107,1987,0.39,8
108,1988,0.33,8
109,1989,0.3,8
110,1990,0.35,8
111,1991,0.39,8
112,1992,0.14,8
113,1993,0.21,8
114,1994,0.31,8
115,1995,0.51,8
116,1996,0.32,8
117,1997,0.54,8
118,1998,0.68,8
119,1999,0.37,8
120,2000,0.46,8
121,2001,0.61,8
122,2002,0.54,8
123,2003,0.62,8
124,2004,0.52,8
125,2005,0.63,8
126,2006,0.63,8
127,2007,0.56,8
128,2008,0.56,8
129,2009,0.7,8
130,2010,0.66,8
131,2011,0.61,8
132,2012,0.67,8
133,2013,0.67,8
134,2014,0.8,8
0,1880,-0.09,9
1,1881,-0.19,9
2,1882,-0.0,9
3,1883,-0.15,9
4,1884,-0.23,9
5,1885,-0.21,9
6,1886,-0.2,9
7,1887,-0.19,9
8,1888,-0.07,9
9,1889,-0.23,9
10,1890,-0.36,9
11,1891,-0.15,9
12,1892,-0.22,9
13,1893,-0.26,9
14,1894,-0.25,9
15,1895,-0.13,9
16,1896,-0.06,9
17,1897,-0.02,9
18,1898,-0.21,9
19,1899,-0.03,9
20,1900,-0.06,9
21,1901,-0.21,9
22,1902,-0.24,9
23,1903,-0.38,9
24,1904,-0.47,9
25,1905,-0.22,9
26,1906,-0.3,9
27,1907,-0.34,9
28,1908,-0.4,9
29,1909,-0.36,9
30,1910,-0.34,9
31,1911,-0.4,9
32,1912,-0.51,9
33,1913,-0.36,9
34,1914,-0.19,9
35,1915,-0.12,9
36,1916,-0.26,9
37,1917,-0.06,9
38,1918,-0.14,9
39,1919,-0.18,9
40,1920,-0.17,9
41,1921,-0.15,9
42,1922,-0.26,9
43,1923,-0.25,9
44,1924,-0.28,9
45,1925,-0.1,9
46,1926,-0.1,9
47,1927,-0.03,9
48,1928,-0.19,9
49,1929,-0.21,9
50,1930,-0.11,9
51,1931,-0.01,9
52,1932,-0.07,9
53,1933,-0.22,9
54,1934,-0.12,9
55,1935,-0.09,9
56,1936,-0.04,9
57,1937,0.13,9
58,1938,0.03,9
59,1939,0.01,9
60,1940,0.15,9
61,1941,0.09,9
62,1942,0.11,9
63,1943,0.14,9
64,1944,0.38,9
65,1945,0.26,9
66,1946,-0.02,9
67,1947,-0.13,9
68,1948,-0.11,9
69,1949,-0.07,9
70,1950,-0.11,9
71,1951,0.13,9
72,1952,0.07,9
73,1953,0.07,9
74,1954,-0.06,9
75,1955,-0.09,9
76,1956,-0.25,9
77,1957,0.07,9
78,1958,0.02,9
79,1959,0.1,9
80,1960,0.06,9
81,1961,-0.01,9
82,1962,0.06,9
83,1963,0.16,9
84,1964,-0.21,9
85,1965,-0.05,9
86,1966,0.03,9
87,1967,-0.03,9
88,1968,-0.01,9
89,1969,0.08,9
90,1970,0.01,9
91,1971,-0.04,9
92,1972,0.02,9
93,1973,0.06,9
94,1974,-0.04,9
95,1975,0.02,9
96,1976,-0.04,9
97,1977,0.19,9
98,1978,0.08,9
99,1979,0.25,9
100,1980,0.2,9
101,1981,0.19,9
102,1982,0.24,9
103,1983,0.32,9
104,1984,0.15,9
105,1985,0.1,9
106,1986,0.17,9
107,1987,0.44,9
108,1988,0.32,9
109,1989,0.31,9
110,1990,0.32,9
111,1991,0.39,9
112,1992,0.07,9
113,1993,0.17,9
114,1994,0.34,9
115,1995,0.39,9
116,1996,0.27,9
117,1997,0.62,9
118,1998,0.53,9
119,1999,0.4,9
120,2000,0.44,9
121,2001,0.51,9
