sender	recipient	total
004755	019278	4.83333333333
010356	031758	4.83333333333
021570	033274	4.83333333333
033104	028288	4.83333333333
036783	019470	4.8
039432	024914	4.79563492063
039432	025956	4.79563492063
039432	039432	4.79563492063
022999	021793	4.78333333333
029387	012593	4.77619047619
029387	018839	4.77619047619
029387	029387	4.77619047619
029999	016270	4.77142857143
034144	024451	4.75
007303	007683	4.75
004234	024458	4.75
016772	022448	4.75
013094	030614	4.75
020406	031050	4.75
020600	024163	4.75
037107	009478	4.74696969697
038571	024327	4.74285714286
036043	025660	4.73535353535
005846	002233	4.73333333333
022171	028536	4.73333333333
021826	017738	4.73333333333
004576	028653	4.71904761905
000336	026345	4.7
007293	009414	4.7
022444	006768	4.69722222222
022444	037996	4.69722222222
019576	002296	4.67619047619
025717	016141	4.66666666667
021510	021510	4.66666666667
003356	007981	4.66666666667
035112	031275	4.66666666667
010038	027511	4.66666666667
035870	015056	4.66666666667
005022	005022	4.66666666667
029387	006249	4.66507936508
000178	015364	4.65555555556
007776	030350	4.64285714286
007776	007776	4.64285714286
038007	014191	4.64285714286
026367	026367	4.64285714286
033348	002966	4.59285714286
020406	010870	4.58333333333
014891	019278	4.58333333333
005708	008539	4.58333333333
007906	027206	4.58333333333
008198	002191	4.58333333333
037107	019449	4.58333333333
017609	008009	4.58333333333
009697	019416	4.58333333333
030233	019500	4.57142857143
005895	027906	4.56666666667
013452	012836	4.55833333333
029624	008641	4.54090909091
029624	033652	4.54090909091
029624	032386	4.53333333333
015858	024019	4.53333333333
030484	037998	4.5
026634	012618	4.5
003436	036055	4.5
022371	029214	4.5
001679	001679	4.5
029879	008160	4.5
021564	020983	4.5
037494	016495	4.5
016330	003707	4.5
033205	021070	4.5
014404	005725	4.5
002520	020982	4.5
033988	024631	4.5
018625	011829	4.5
032814	031116	4.5
016329	030576	4.5
015569	023827	4.5
025604	024878	4.5
038485	035112	4.5
013565	007253	4.5
004650	033393	4.5
009268	003887	4.5
034280	019788	4.5
006027	015857	4.5
028288	002676	4.5
000224	003953	4.5
005698	012991	4.5
005698	017508	4.5
021564	030438	4.5
026261	026261	4.5
035205	026577	4.5
018797	021739	4.5
